date,xauusd
2020-01-02,1524.5
2020-01-03,1549.199951171875
2020-01-06,1566.199951171875
2020-01-07,1571.800048828125
2020-01-08,1557.4000244140625
2020-01-09,1551.699951171875
2020-01-10,1557.5
2020-01-13,1548.4000244140625
2020-01-14,1542.4000244140625
2020-01-15,1552.0999755859375
2020-01-16,1549.0
2020-01-17,1558.800048828125
2020-01-21,1556.4000244140625
2020-01-22,1555.300048828125
2020-01-23,1564.5999755859375
2020-01-24,1571.0999755859375
2020-01-27,1576.800048828125
2020-01-28,1569.199951171875
2020-01-29,1569.800048828125
2020-01-30,1583.5
2020-01-31,1582.9000244140625
2020-02-03,1577.199951171875
2020-02-04,1550.4000244140625
2020-02-05,1557.800048828125
2020-02-06,1565.0999755859375
2020-02-07,1568.5999755859375
2020-02-10,1574.699951171875
2020-02-11,1565.5999755859375
2020-02-12,1567.4000244140625
2020-02-13,1575.0999755859375
2020-02-14,1582.699951171875
2020-02-18,1600.0
2020-02-19,1607.5
2020-02-20,1616.5999755859375
2020-02-21,1644.5999755859375
2020-02-24,1672.4000244140625
2020-02-25,1646.9000244140625
2020-02-26,1640.0
2020-02-27,1640.0
2020-02-28,1564.0999755859375
2020-03-02,1592.300048828125
2020-03-03,1642.0999755859375
2020-03-04,1641.0999755859375
2020-03-05,1666.4000244140625
2020-03-06,1670.800048828125
2020-03-09,1674.5
2020-03-10,1659.0999755859375
2020-03-11,1641.4000244140625
2020-03-12,1589.300048828125
2020-03-13,1515.699951171875
2020-03-16,1485.9000244140625
2020-03-17,1524.9000244140625
2020-03-18,1477.300048828125
2020-03-19,1478.5999755859375
2020-03-20,1484.0
2020-03-23,1567.0
2020-03-24,1660.199951171875
2020-03-25,1632.300048828125
2020-03-26,1650.0999755859375
2020-03-27,1623.9000244140625
2020-03-30,1622.0
2020-03-31,1583.4000244140625
2020-04-01,1578.199951171875
2020-04-02,1625.699951171875
2020-04-03,1633.699951171875
2020-04-06,1677.0
2020-04-07,1664.800048828125
2020-04-08,1665.4000244140625
2020-04-09,1736.199951171875
2020-04-13,1744.800048828125
2020-04-14,1756.699951171875
2020-04-15,1727.199951171875
2020-04-16,1720.4000244140625
2020-04-17,1689.199951171875
2020-04-20,1701.5999755859375
2020-04-21,1678.199951171875
2020-04-22,1728.699951171875
2020-04-23,1733.300048828125
2020-04-24,1723.5
2020-04-27,1711.9000244140625
2020-04-28,1710.5
2020-04-29,1703.4000244140625
2020-04-30,1684.199951171875
2020-05-01,1694.5
2020-05-04,1706.9000244140625
2020-05-05,1704.4000244140625
2020-05-06,1684.199951171875
2020-05-07,1721.800048828125
2020-05-08,1709.9000244140625
2020-05-11,1695.300048828125
2020-05-12,1704.4000244140625
2020-05-13,1713.9000244140625
2020-05-14,1738.0999755859375
2020-05-15,1753.4000244140625
2020-05-18,1731.800048828125
2020-05-19,1744.199951171875
2020-05-20,1750.5999755859375
2020-05-21,1720.5
2020-05-22,1734.5999755859375
2020-05-26,1704.800048828125
2020-05-27,1710.300048828125
2020-05-28,1713.300048828125
2020-05-29,1736.9000244140625
2020-06-01,1737.800048828125
2020-06-02,1725.199951171875
2020-06-03,1697.800048828125
2020-06-04,1718.9000244140625
2020-06-05,1676.199951171875
2020-06-08,1698.300048828125
2020-06-09,1714.699951171875
2020-06-10,1713.300048828125
2020-06-11,1732.0
2020-06-12,1729.300048828125
2020-06-15,1720.300048828125
2020-06-16,1729.5999755859375
2020-06-17,1729.199951171875
2020-06-18,1724.800048828125
2020-06-19,1745.9000244140625
2020-06-22,1756.699951171875
2020-06-23,1772.0999755859375
2020-06-24,1765.800048828125
2020-06-25,1762.0999755859375
2020-06-26,1772.5
2020-06-29,1774.800048828125
2020-06-30,1793.0
2020-07-01,1773.199951171875
2020-07-02,1784.0
2020-07-06,1788.5
2020-07-07,1804.199951171875
2020-07-08,1815.5
2020-07-09,1799.199951171875
2020-07-10,1798.199951171875
2020-07-13,1811.0
2020-07-14,1810.5999755859375
2020-07-15,1811.4000244140625
2020-07-16,1798.699951171875
2020-07-17,1808.300048828125
2020-07-20,1815.9000244140625
2020-07-21,1842.4000244140625
2020-07-22,1864.0999755859375
2020-07-23,1889.0999755859375
2020-07-24,1897.300048828125
2020-07-27,1931.0
2020-07-28,1944.699951171875
2020-07-29,1953.5
2020-07-30,1942.300048828125
2020-07-31,1962.800048828125
2020-08-03,1966.0
2020-08-04,2001.199951171875
2020-08-05,2031.0999755859375
2020-08-06,2051.5
2020-08-07,2010.0999755859375
2020-08-10,2024.4000244140625
2020-08-11,1932.5999755859375
2020-08-12,1934.9000244140625
2020-08-13,1956.699951171875
2020-08-14,1937.0
2020-08-17,1985.0
2020-08-18,1999.4000244140625
2020-08-19,1958.699951171875
2020-08-20,1933.800048828125
2020-08-21,1934.5999755859375
2020-08-24,1927.699951171875
2020-08-25,1911.800048828125
2020-08-26,1940.699951171875
2020-08-27,1921.5999755859375
2020-08-28,1964.5999755859375
2020-08-31,1967.5999755859375
2020-09-01,1968.199951171875
2020-09-02,1934.4000244140625
2020-09-03,1927.5999755859375
2020-09-04,1923.9000244140625
2020-09-08,1933.0
2020-09-09,1944.699951171875
2020-09-10,1954.199951171875
2020-09-11,1937.800048828125
2020-09-14,1953.0999755859375
2020-09-15,1956.300048828125
2020-09-16,1960.199951171875
2020-09-17,1940.0
2020-09-18,1952.0999755859375
2020-09-21,1901.199951171875
2020-09-22,1898.5999755859375
2020-09-23,1859.9000244140625
2020-09-24,1868.300048828125
2020-09-25,1857.699951171875
2020-09-28,1872.800048828125
2020-09-29,1894.300048828125
2020-09-30,1887.5
2020-10-01,1908.4000244140625
2020-10-02,1900.199951171875
2020-10-05,1912.5
2020-10-06,1901.0999755859375
2020-10-07,1883.5999755859375
2020-10-08,1888.5999755859375
2020-10-09,1919.5
2020-10-12,1922.5
2020-10-13,1888.5
2020-10-14,1901.300048828125
2020-10-15,1903.199951171875
2020-10-16,1900.800048828125
2020-10-19,1906.4000244140625
2020-10-20,1910.4000244140625
2020-10-21,1924.5999755859375
2020-10-22,1901.0999755859375
2020-10-23,1902.0
2020-10-26,1902.699951171875
2020-10-27,1908.800048828125
2020-10-28,1876.199951171875
2020-10-29,1865.5999755859375
2020-10-30,1877.4000244140625
2020-11-02,1890.4000244140625
2020-11-03,1908.5
2020-11-04,1894.5999755859375
2020-11-05,1945.300048828125
2020-11-06,1950.300048828125
2020-11-09,1853.199951171875
2020-11-10,1875.4000244140625
2020-11-11,1860.699951171875
2020-11-12,1872.5999755859375
2020-11-13,1885.699951171875
2020-11-16,1887.300048828125
2020-11-17,1884.5
2020-11-18,1873.5
2020-11-19,1861.0999755859375
2020-11-20,1872.5999755859375
2020-11-23,1837.800048828125
2020-11-24,1804.800048828125
2020-11-25,1805.699951171875
2020-11-27,1781.9000244140625
